ECLIPSE ANDROID PROJECT IMPORT SUMMARY
======================================

Manifest Merging:
-----------------
Your project uses libraries that provide manifests, and your Eclipse
project did not explicitly turn on manifest merging. In Android Gradle
projects, manifests are always merged (meaning that contents from your
libraries' manifests will be merged into the app manifest. If you had
manually copied contents from library manifests into your app manifest
you may need to remove these for the app to build correctly.

Ignored Files:
--------------
The following files were *not* copied into the new Gradle project; you
should evaluate whether these are still needed in your project and if
so manually move them:

From OpenCV Library - 2.4.10:
* javadoc/
* javadoc/allclasses-frame.html
* javadoc/allclasses-noframe.html
* javadoc/constant-values.html
* javadoc/help-doc.html
* javadoc/index-all.html
* javadoc/index.html
* javadoc/org/
* javadoc/org/opencv/
* javadoc/org/opencv/android/
* javadoc/org/opencv/android/BaseLoaderCallback.html
* javadoc/org/opencv/android/CameraBridgeViewBase.CvCameraViewFrame.html
* javadoc/org/opencv/android/CameraBridgeViewBase.CvCameraViewListener.html
* javadoc/org/opencv/android/CameraBridgeViewBase.CvCameraViewListener2.html
* javadoc/org/opencv/android/CameraBridgeViewBase.ListItemAccessor.html
* javadoc/org/opencv/android/CameraBridgeViewBase.html
* javadoc/org/opencv/android/FpsMeter.html
* javadoc/org/opencv/android/InstallCallbackInterface.html
* javadoc/org/opencv/android/JavaCameraView.JavaCameraSizeAccessor.html
* javadoc/org/opencv/android/JavaCameraView.html
* javadoc/org/opencv/android/LoaderCallbackInterface.html
* javadoc/org/opencv/android/NativeCameraView.OpenCvSizeAccessor.html
* javadoc/org/opencv/android/NativeCameraView.html
* javadoc/org/opencv/android/OpenCVLoader.html
* javadoc/org/opencv/android/Utils.html
* javadoc/org/opencv/android/package-frame.html
* javadoc/org/opencv/android/package-summary.html
* javadoc/org/opencv/android/package-tree.html
* javadoc/org/opencv/calib3d/
* javadoc/org/opencv/calib3d/Calib3d.html
* javadoc/org/opencv/calib3d/StereoBM.html
* javadoc/org/opencv/calib3d/StereoSGBM.html
* javadoc/org/opencv/calib3d/package-frame.html
* javadoc/org/opencv/calib3d/package-summary.html
* javadoc/org/opencv/calib3d/package-tree.html
* javadoc/org/opencv/core/
* javadoc/org/opencv/core/Algorithm.html
* javadoc/org/opencv/core/Core.MinMaxLocResult.html
* javadoc/org/opencv/core/Core.html
* javadoc/org/opencv/core/CvException.html
* javadoc/org/opencv/core/CvType.html
* javadoc/org/opencv/core/Mat.html
* javadoc/org/opencv/core/MatOfByte.html
* javadoc/org/opencv/core/MatOfDMatch.html
* javadoc/org/opencv/core/MatOfDouble.html
* javadoc/org/opencv/core/MatOfFloat.html
* javadoc/org/opencv/core/MatOfFloat4.html
* javadoc/org/opencv/core/MatOfFloat6.html
* javadoc/org/opencv/core/MatOfInt.html
* javadoc/org/opencv/core/MatOfInt4.html
* javadoc/org/opencv/core/MatOfKeyPoint.html
* javadoc/org/opencv/core/MatOfPoint.html
* javadoc/org/opencv/core/MatOfPoint2f.html
* javadoc/org/opencv/core/MatOfPoint3.html
* javadoc/org/opencv/core/MatOfPoint3f.html
* javadoc/org/opencv/core/MatOfRect.html
* javadoc/org/opencv/core/Point.html
* javadoc/org/opencv/core/Point3.html
* javadoc/org/opencv/core/Range.html
* javadoc/org/opencv/core/Rect.html
* javadoc/org/opencv/core/RotatedRect.html
* javadoc/org/opencv/core/Scalar.html
* javadoc/org/opencv/core/Size.html
* javadoc/org/opencv/core/TermCriteria.html
* javadoc/org/opencv/core/package-frame.html
* javadoc/org/opencv/core/package-summary.html
* javadoc/org/opencv/core/package-tree.html
* javadoc/org/opencv/features2d/
* javadoc/org/opencv/features2d/DMatch.html
* javadoc/org/opencv/features2d/DescriptorExtractor.html
* javadoc/org/opencv/features2d/DescriptorMatcher.html
* javadoc/org/opencv/features2d/FeatureDetector.html
* javadoc/org/opencv/features2d/Features2d.html
* javadoc/org/opencv/features2d/GenericDescriptorMatcher.html
* javadoc/org/opencv/features2d/KeyPoint.html
* javadoc/org/opencv/features2d/package-frame.html
* javadoc/org/opencv/features2d/package-summary.html
* javadoc/org/opencv/features2d/package-tree.html
* javadoc/org/opencv/highgui/
* javadoc/org/opencv/highgui/Highgui.html
* javadoc/org/opencv/highgui/VideoCapture.html
* javadoc/org/opencv/highgui/package-frame.html
* javadoc/org/opencv/highgui/package-summary.html
* javadoc/org/opencv/highgui/package-tree.html
* javadoc/org/opencv/imgproc/
* javadoc/org/opencv/imgproc/CLAHE.html
* javadoc/org/opencv/imgproc/Imgproc.html
* javadoc/org/opencv/imgproc/Moments.html
* javadoc/org/opencv/imgproc/Subdiv2D.html
* javadoc/org/opencv/imgproc/package-frame.html
* javadoc/org/opencv/imgproc/package-summary.html
* javadoc/org/opencv/imgproc/package-tree.html
* javadoc/org/opencv/ml/
* javadoc/org/opencv/ml/CvANN_MLP.html
* javadoc/org/opencv/ml/CvANN_MLP_TrainParams.html
* javadoc/org/opencv/ml/CvBoost.html
* javadoc/org/opencv/ml/CvBoostParams.html
* javadoc/org/opencv/ml/CvDTree.html
* javadoc/org/opencv/ml/CvDTreeParams.html
* javadoc/org/opencv/ml/CvERTrees.html
* javadoc/org/opencv/ml/CvGBTrees.html
* javadoc/org/opencv/ml/CvGBTreesParams.html
* javadoc/org/opencv/ml/CvKNearest.html
* javadoc/org/opencv/ml/CvNormalBayesClassifier.html
* javadoc/org/opencv/ml/CvParamGrid.html
* javadoc/org/opencv/ml/CvRTParams.html
* javadoc/org/opencv/ml/CvRTrees.html
* javadoc/org/opencv/ml/CvSVM.html
* javadoc/org/opencv/ml/CvSVMParams.html
* javadoc/org/opencv/ml/CvStatModel.html
* javadoc/org/opencv/ml/EM.html
* javadoc/org/opencv/ml/Ml.html
* javadoc/org/opencv/ml/package-frame.html
* javadoc/org/opencv/ml/package-summary.html
* javadoc/org/opencv/ml/package-tree.html
* javadoc/org/opencv/objdetect/
* javadoc/org/opencv/objdetect/CascadeClassifier.html
* javadoc/org/opencv/objdetect/HOGDescriptor.html
* javadoc/org/opencv/objdetect/Objdetect.html
* javadoc/org/opencv/objdetect/package-frame.html
* javadoc/org/opencv/objdetect/package-summary.html
* javadoc/org/opencv/objdetect/package-tree.html
* javadoc/org/opencv/photo/
* javadoc/org/opencv/photo/Photo.html
* javadoc/org/opencv/photo/package-frame.html
* javadoc/org/opencv/photo/package-summary.html
* javadoc/org/opencv/photo/package-tree.html
* javadoc/org/opencv/utils/
* javadoc/org/opencv/utils/Converters.html
* javadoc/org/opencv/utils/package-frame.html
* javadoc/org/opencv/utils/package-summary.html
* javadoc/org/opencv/utils/package-tree.html
* javadoc/org/opencv/video/
* javadoc/org/opencv/video/BackgroundSubtractor.html
* javadoc/org/opencv/video/BackgroundSubtractorMOG.html
* javadoc/org/opencv/video/BackgroundSubtractorMOG2.html
* javadoc/org/opencv/video/KalmanFilter.html
* javadoc/org/opencv/video/Video.html
* javadoc/org/opencv/video/package-frame.html
* javadoc/org/opencv/video/package-summary.html
* javadoc/org/opencv/video/package-tree.html
* javadoc/overview-frame.html
* javadoc/overview-summary.html
* javadoc/overview-tree.html
* javadoc/package-list
* javadoc/resources/
* javadoc/resources/inherit.gif
* javadoc/serialized-form.html
* javadoc/stylesheet.css
From SudokuSolver:
* OpenCV-2.4.10-android-sdk/
* OpenCV-2.4.10-android-sdk/LICENSE
* OpenCV-2.4.10-android-sdk/README.android
* OpenCV-2.4.10-android-sdk/apk/
* OpenCV-2.4.10-android-sdk/apk/OpenCV_2.4.10_Manager_2.19_armeabi.apk
* OpenCV-2.4.10-android-sdk/apk/OpenCV_2.4.10_Manager_2.19_armv7a-neon-android8.apk
* OpenCV-2.4.10-android-sdk/apk/OpenCV_2.4.10_Manager_2.19_armv7a-neon.apk
* OpenCV-2.4.10-android-sdk/apk/OpenCV_2.4.10_Manager_2.19_mips.apk
* OpenCV-2.4.10-android-sdk/apk/OpenCV_2.4.10_Manager_2.19_x86.apk
* OpenCV-2.4.10-android-sdk/apk/OpenCV_2.4.10_binary_pack_armv7a.apk
* OpenCV-2.4.10-android-sdk/apk/readme.txt
* OpenCV-2.4.10-android-sdk/doc/
* OpenCV-2.4.10-android-sdk/doc/acircles_pattern.png
* OpenCV-2.4.10-android-sdk/doc/haartraining.htm
* OpenCV-2.4.10-android-sdk/doc/opencv-logo-white.png
* OpenCV-2.4.10-android-sdk/doc/opencv-logo.png
* OpenCV-2.4.10-android-sdk/doc/opencv-logo2.png
* OpenCV-2.4.10-android-sdk/doc/opencv.ico
* OpenCV-2.4.10-android-sdk/doc/opencv2manager.pdf
* OpenCV-2.4.10-android-sdk/doc/opencv2refman.pdf
* OpenCV-2.4.10-android-sdk/doc/opencv_cheatsheet.pdf
* OpenCV-2.4.10-android-sdk/doc/opencv_tutorials.pdf
* OpenCV-2.4.10-android-sdk/doc/opencv_user.pdf
* OpenCV-2.4.10-android-sdk/doc/pattern.png
* OpenCV-2.4.10-android-sdk/samples/
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/.classpath
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/.project
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/.settings/
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/.settings/org.eclipse.jdt.core.prefs
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/AndroidManifest.xml
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/project.properties
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/res/
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/res/drawable/
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/res/drawable/icon.png
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/res/values/
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/res/values/strings.xml
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/src/
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/src/org/
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/src/org/opencv/
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/src/org/opencv/samples/
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/src/org/opencv/samples/puzzle15/
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/src/org/opencv/samples/puzzle15/Puzzle15Activity.java
* OpenCV-2.4.10-android-sdk/samples/15-puzzle/src/org/opencv/samples/puzzle15/Puzzle15Processor.java
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/.classpath
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/.project
* OpenCV-2.4.10-android-sdk/samples/camera-calibration/.settings/
